Food Name,Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Starch (g),Total sugars (g),Cholesterol (mg)
,PROT,FAT,CHO,KCALS,STAR,TOTSUG,CHOL
,Protein,Fat,Carbohydrate,kcal,Starch,Total sugars,Cholesterol
"Lamb, loin chops, roasted, lean",34.4,13.3,0.0,257,0.0,0.0,120.0
"Lamb, loin chops, roasted, lean and fat",29.1,26.9,0.0,359,0.0,0.0,115.0
"Lamb, loin chops, roasted, lean and fat, weighed with bone",22.4,20.7,0.0,316,0.0,0.0,100.0
"Lamb, loin chops, roasted, lean, weighed with fat and bone",19.3,7.4,0.0,144,0.0,0.0,68.0
"Lamb, loin joint, raw, lean and fat",16.9,26.6,0.0,307,0.0,0.0,80.0
"Lamb, loin joint, raw, lean and fat, weighed with bone",13.0,20.5,0.0,236,0.0,0.0,62.0
"Lamb, loin joint, roasted, lean",28.2,10.7,0.0,209,0.0,0.0,100.0
"Lamb, loin joint, roasted, lean and fat",25.3,22.4,0.0,303,0.0,0.0,100.0
"Lamb, loin joint, roasted, lean and fat, weighed with bone",18.7,16.6,0.0,224,0.0,0.0,74.0
"Lamb, mince, raw",19.1,13.3,0.0,196,0.0,0.0,77.0
"Lamb, mince, stewed",24.4,12.3,0.0,208,0.0,0.0,96.0
"Lamb, mince, stewed with onions",10.6,8.5,2.8,129,1.8,0.6,40.4
"Lamb, neck fillet, raw, lean",19.4,13.9,0.0,203,0.0,0.0,75.0
"Lamb, neck fillet, raw, lean and fat",18.4,17.6,0.0,232,0.0,0.0,79.0
"Lamb, neck fillet, slices, grilled, lean",27.9,19.1,0.0,284,0.0,0.0,99.0
"Lamb, neck fillet, slices, grilled, lean and fat",26.3,21.9,0.0,302,0.0,0.0,97.0
"Lamb, neck fillet, strips, stir-fried  in corn oil, lean",24.4,20.0,0.0,278,0.0,0.0,86.0
"Lamb, neck fillet, strips, stir-fried in corn oil, lean and fat",23.2,23.1,0.0,301,0.0,0.0,91.0
"Lamb, New Zealand, leg, whole, chilled, roasted, lean",28.8,10.2,0.0,207,0.0,0.0,110.0
"Lamb, New Zealand, leg, whole, chilled, roasted, lean and fat",28.0,13.1,0.0,230,0.0,0.0,110.0
"Lamb, New Zealand, leg, whole, frozen, raw, lean and fat, weighed with bone",15.0,11.1,0.0,160,0.0,0.0,58.0
"Lamb, New Zealand, leg, whole, frozen, roasted, lean",30.6,9.3,0.0,206,0.0,0.0,110.0
"Lamb, New Zealand, leg, whole, frozen, roasted, lean and fat",29.0,14.1,0.0,243,0.0,0.0,110.0
"Lamb, New Zealand, leg, whole, frozen, roasted, lean and fat, weighed with bone",21.2,10.3,0.0,178,0.0,0.0,82.0
"Lamb, New Zealand, loin chops, frozen, grilled, lean",31.4,13.7,0.0,249,0.0,0.0,110.0
"Lamb, New Zealand, loin chops, frozen, grilled, lean and fat",26.9,28.5,0.0,364,0.0,0.0,105.0
"Lamb, New Zealand, loin chops, frozen, grilled, lean and fat, weighed with bone",21.2,22.5,0.0,287,0.0,0.0,83.0
"Lamb, New Zealand, loin chops, frozen, grilled, lean, weighed with fat and bone",18.5,8.1,0.0,147,0.0,0.0,65.0
"Lamb, New Zealand, mince, frozen, stewed",20.9,17.7,0.0,243,0.0,0.0,110.0
"Lamb, New Zealand, shoulder, whole, frozen, roasted, lean",27.6,15.6,0.0,251,0.0,0.0,97.0
"Lamb, New Zealand, shoulder, whole, frozen, roasted, lean and fat",24.6,27.9,0.0,350,0.0,0.0,98.0
"Lamb, rack of, lean, roasted",27.1,13.0,0.0,225,0.0,0.0,96.0
"Lamb, rack of, raw, lean and fat",17.3,23.8,0.0,283,0.0,0.0,75.0
"Lamb, rack of, raw, lean and fat, weighed with bone",12.5,17.1,0.0,204,0.0,0.0,54.0
"Lamb, rack of, roasted, lean and fat",23.0,30.1,0.0,363,0.0,0.0,97.0
"Lamb, shoulder joint, roasted, lean",28.4,13.5,0.0,235,0.0,0.0,100.0
"Lamb, shoulder joint, roasted, lean and fat",25.9,19.8,0.0,282,0.0,0.0,100.0
"Lamb, shoulder, diced, kebabs, grilled, lean and fat",28.5,19.3,0.0,288,0.0,0.0,110.0
"Lamb, shoulder, half bladeside, pot-roasted, lean",26.2,14.3,0.0,234,0.0,0.0,93.0
"Lamb, shoulder, half bladeside, pot-roasted, lean and fat",23.5,25.6,0.0,324,0.0,0.0,98.0
"Lamb, shoulder, half knuckle, braised, lean",25.1,12.4,0.0,212,0.0,0.0,89.0
"Lamb, shoulder, half knuckle, braised, lean and fat",22.9,23.4,0.0,302,0.0,0.0,94.0
"Lamb, shoulder, raw, lean and fat",17.6,18.3,0.0,235,0.0,0.0,76.0
"Lamb, shoulder, raw, lean and fat, weighed with bone",14.1,14.6,0.0,188,0.0,0.0,61.0
"Lamb, shoulder, whole, roasted, lean",27.2,12.1,0.0,218,0.0,0.0,105.0
"Lamb, shoulder, whole, roasted, lean and fat",24.7,22.1,0.0,298,0.0,0.0,105.0
"Lamb, shoulder, whole, roasted, lean and fat, weighed with bone",19.5,17.5,0.0,235,0.0,0.0,83.0
"Lamb, stewing, pressure cooked, lean",28.7,14.8,0.0,248,0.0,0.0,100.0
"Lamb, stewing, pressure cooked, lean and fat",25.7,20.9,0.0,291,0.0,0.0,98.0
"Lamb, stewing, raw, lean and fat",22.5,12.6,0.0,203,0.0,0.0,78.0
"Lamb, stewing, raw, lean and fat, weighed with bone",15.1,8.4,0.0,136,0.0,0.0,52.0
"Lamb, stewing, stewed, lean",26.6,14.8,0.0,240,0.0,0.0,94.0
"Lamb, stewing, stewed, lean and fat",24.4,20.1,0.0,279,0.0,0.0,92.0
"Lamb's heart casserole, homemade",11.8,8.1,9.9,161,9.1,0.6,91.6
"Lancashire hotpot, homemade",7.3,6.9,7.4,119,5.8,1.4,27.4
"Langoustine, boiled",19.7,0.8,0.0,86,0.0,0.0,133.0
Lard,Tr,99.0,0.0,891,0.0,0.0,93.0
"Lasagne, homemade",9.6,9.6,15.2,180,12.3,2.8,24.8
"Lasagne, homemade, with extra lean minced beef",10.1,7.0,15.2,160,12.3,2.8,19.9
"Lasagne, retail, reheated",7.4,6.1,15.7,143,12.7,3.0,18.0
"Lasagne, spinach, wholemeal, homemade",4.2,3.1,13.0,93,10.9,2.2,6.0
"Lasagne, vegetable, retail",4.8,5.3,13.4,117,9.0,4.4,N
"Lasagne, vegetable, wholemeal, homemade",4.8,4.6,12.4,106,9.4,3.0,9.0
"Lassi, sweetened",2.6,0.9,12.3,65,0.2,11.9,N
Laverbread,3.2,3.7,1.6,52,1.6,Tr,0.0
"Leeks in cheese sauce, made with semi-skimmed milk, homemade",4.0,5.5,4.6,82,1.8,2.6,14.0
"Leeks in cheese sauce, made with skimmed milk, homemade",4.0,5.0,4.6,79,1.8,2.6,13.4
"Leeks in cheese sauce, made with whole milk, homemade",4.0,6.0,4.5,87,1.8,2.5,15.9
"Leeks, boiled in unsalted water",1.2,0.2,2.5,16,0.2,2.3,0.0
"Leeks, raw",1.5,0.2,4.1,23,0.3,3.8,0.0
"Leeks, roasted in rapeseed oil",1.7,1.9,4.5,41,0.3,4.2,0.0
"Lemon chicken, homemade",16.9,6.2,7.1,150,3.8,3.3,47.7
Lemon curd,0.6,4.9,58.4,266,5.9,52.5,21.0
"Lemon curd, homemade",4.2,16.0,50.7,350,0.0,50.7,145.5
"Lemon juice, fresh",0.3,Tr,1.6,7,0.0,1.6,0.0
"Lemon juice, fresh, weighed as whole fruit",0.1,Tr,0.6,2,0.0,0.6,0.0
Lemon peel,1.5,0.3,N,N,0.0,N,0.0
"Lemon sole, flesh only, grilled",21.5,0.6,0.0,91,0.0,0.0,40.3
"Lemon sole, flesh only, raw",16.7,0.7,0.0,73,0.0,0.0,47.0
"Lemon sole, flesh only, steamed",21.7,0.9,0.0,95,0.0,0.0,61.5
"Lemon sole, flesh only, steamed, weighed with bones and skin",16.7,0.7,0.0,73,0.0,0.0,47.0
"Lemon sole, goujons, baked",16.0,14.6,14.7,187,13.9,0.9,55.0
Lemonade,Tr,0.0,5.8,22,0.0,5.8,0.0
"Lemonade, homemade",Tr,Tr,16.7,63,0.0,16.7,0.0
"Lemons, flesh only, raw, weighed with peel and pips",0.5,0.2,1.4,9,0.0,1.4,0.0
"Lemons, peeled, flesh only",0.8,0.3,2.2,14,0.0,2.2,0.0
"Lemons, whole, without pips",1.0,0.3,3.2,19,0.0,3.2,0.0
"Lentil and nut roast, homemade",10.6,12.1,18.8,222,15.4,2.7,0.0
"Lentil and nut roast, with egg, homemade",10.8,12.1,17.6,218,14.5,2.6,26.0
"Lentil and potato pie, homemade",5.3,2.2,18.6,111,16.6,1.4,0.0
"Lentil and rice roast, homemade",5.1,1.8,25.2,131,23.6,1.1,0.1
"Lentil and rice roast, with egg, homemade",5.5,2.1,24.1,131,22.7,1.1,15.4
"Lentil cutlets, fried in vegetable oil, homemade",8.5,8.3,24.2,199,20.8,1.2,0.0
"Lentil pie, homemade",6.9,4.3,29.1,175,24.1,4.2,0.0
"Lentil roast, homemade",7.7,3.0,21.9,139,18.6,2.5,0.0
"Lentil roast, with egg, homemade",8.2,3.6,20.3,141,17.2,2.3,32.0
"Lentils, green and brown, whole, dried, boiled in unsalted water",7.8,0.7,14.5,92,14.3,0.2,0.0
"Lentils, green and brown, whole, dried, raw",24.3,1.9,48.8,297,44.5,1.2,0.0
"Lentils, red, split, dried, boiled in unsalted water",8.1,0.7,16.9,102,16.5,0.4,0.0
"Lentils, red, split, dried, raw",25.6,1.8,51.2,311,49.9,1.3,0.0
"Lettuce, average, raw",1.2,0.1,1.4,11,Tr,1.4,0.0
"Lime juice cordial, diluted",Tr,0.0,6.0,22,0.0,6.0,0.0
"Lime juice cordial, undiluted",0.1,0.0,29.8,112,Tr,29.8,0.0
"Lime juice, fresh",0.4,0.1,1.6,9,0.0,1.6,0.0
"Limes, flesh only",0.7,0.3,0.8,9,0.0,0.8,0.0
"Limes, flesh only, weighed with peel and pips",0.5,0.2,0.6,6,0.0,0.6,0.0
"Ling, raw",18.8,0.7,0.0,82,0.0,0.0,N
"Liqueurs, cream",3.0,13.0,21.8,305,Tr,21.8,N
"Liqueurs, high strength",Tr,0.0,24.4,314,0.0,24.4,0.0
"Liqueurs, low-medium strength",Tr,0.0,32.8,262,0.0,32.8,0.0
Liquorice allsorts,3.7,5.2,76.7,349,9.4,62.4,0.0
Liquorice powder,6.3,1.7,N,N,N,N,0.0
"Liver and bacon, fried, homemade",28.9,14.7,Tr,247,Tr,0.0,332.8
"Liver and onions, stewed, homemade",14.7,6.9,5.4,142,Tr,4.3,297.2
Liver sausage,13.4,16.7,6.0,226,5.0,1.0,115.0
"Liver, calf, fried in corn oil",22.3,9.6,Tr,176,0.0,0.0,330.0
"Liver, calf, raw",18.3,3.4,Tr,104,0.0,0.0,370.0
"Liver, chicken, fried in corn oil",22.1,8.9,Tr,169,0.0,0.0,350.0
"Liver, chicken, raw",17.7,2.3,Tr,92,0.0,0.0,380.0
"Liver, lamb, fried in corn oil",30.1,12.9,Tr,237,0.0,0.0,400.0
"Liver, lamb, raw",20.3,6.2,Tr,137,0.0,0.0,430.0
"Liver, ox, raw",21.1,7.8,Tr,155,0.0,0.0,270.0
"Liver, ox, stewed",24.8,9.5,3.6,198,3.6,Tr,240.0
"Liver, pig, raw",21.3,3.1,Tr,113,0.0,0.0,260.0
"Liver, pig, stewed",25.6,8.1,3.6,189,3.6,0.0,290.0
"Lobster, boiled",22.1,1.6,Tr,103,Tr,Tr,110.0
"Lobster, boiled, weighed with shell",8.0,0.6,Tr,37,Tr,Tr,40.0
"Loganberries, raw",1.1,Tr,3.4,17,0.0,3.4,0.0
"Loganberries, stewed with sugar",0.8,Tr,12.5,50,0.0,12.5,0.0
"Loganberries, stewed without sugar",0.9,Tr,2.9,14,0.0,2.9,0.0
"Lollies, containing ice-cream",1.4,3.8,20.9,118,0.0,20.9,4.1
"Lollies, with real fruit juice",0.1,0.3,18.6,73,0.0,17.8,N
"Longans, canned in syrup, drained",0.4,0.3,17.1,67,0.1,17.0,0.0
"Longans, canned in syrup, whole contents",0.3,0.2,16.5,63,0.1,16.4,0.0
"Longans, flesh only, dried",4.9,0.4,72.0,286,0.5,71.5,0.0
"Loquats, flesh only, raw",0.7,0.2,6.3,28,0.0,6.3,0.0
"Lotus tubers, raw",2.1,0.1,11.0,51,5.5,5.5,0.0
Lucozade,Tr,0.0,16.0,60,Tr,11.1,0.0
"Luncheon meat, Chinese, steamed",11.9,22.3,10.5,288,N,N,N
"Lychees, flesh only, raw, weighed with skin and stone",0.5,0.1,8.9,36,0.0,8.9,0.0
"Lychees, raw, flesh only",0.9,0.1,14.3,58,0.0,14.3,0.0
"Macadamia nuts, salted",7.9,77.6,4.8,748,0.8,4.0,0.0
"Macaroni cheese, homemade",7.8,8.6,19.8,183,16.9,2.8,16.9
"Macaroon, homemade",9.9,17.8,64.0,442,4.1,62.0,0.0
"Mace, ground",6.7,32.4,N,N,N,N,0.0
"Mackerel, flesh only, grilled",20.3,22.4,0.0,283,0.0,0.0,75.0
"Mackerel, flesh only, grilled, fillets weighed with bones and skin",19.9,22.0,0.0,278,0.0,0.0,73.5
"Mackerel, flesh only, raw",18.0,17.9,0.0,233,0.0,0.0,60.0
"Mackerel, flesh only, smoked",21.1,24.1,0.0,301,0.0,0.0,63.0
Maltesers and similar products,7.6,23.3,63.0,476,7.5,55.5,11.7
"Mammie apple, flesh only",0.5,0.4,14.4,60,Tr,14.4,0.0
"Mandarin oranges, canned in juice, whole contents",0.7,Tr,7.7,32,0.0,7.7,0.0
"Mango, unripe, green flesh, raw",0.5,0.2,11.2,46,5.6,5.6,0.0
"Mangoes, ripe, flesh only, raw",0.7,0.6,10.7,48,0.3,10.4,0.0
"Mangoes, ripe, flesh only, raw, weighed with skin and stone",0.4,0.4,6.7,30,0.2,6.5,0.0
"Mangosteen, flesh only",0.6,0.5,16.4,73,0.3,16.1,0.0
"Marjoram, dried",12.7,7.0,42.5,271,N,N,0.0
Marmalade,0.1,0.0,69.5,261,0.0,69.5,0.0
"Marrow, boiled in unsalted water",0.4,0.2,1.6,9,0.2,1.4,0.0
"Marrow, parwal, raw",1.6,Tr,2.1,14,1.3,0.8,0.0
"Marrow, raw",0.5,0.2,2.2,12,0.1,2.1,0.0
Mars bar and own brand equivalents,4.1,15.3,66.6,404,3.3,63.3,9.7
Marshmallows,3.9,0.0,83.1,327,4.5,64.5,0.0
"Marzipan, homemade",10.4,25.7,50.1,460,1.5,48.7,26.1
"Marzipan, white and yellow, retail",5.3,12.7,67.6,389,0.0,67.6,0.0
"Matoki, boiled in unsalted water",1.3,0.2,22.3,91,21.7,0.6,0.0
"Matoki, raw",1.2,0.2,22.3,90,21.5,0.9,0.0
"Mayonnaise, homemade",1.7,84.2,0.1,786,0.0,0.1,44.0
"Mayonnaise, reduced fat",1.0,28.1,8.2,288,3.6,4.6,21.7
"Mayonnaise, standard, retail",1.1,74.8,2.4,686,Tr,2.4,57.2
"Mchicha, homemade",3.6,4.7,4.0,73,0.1,3.0,0.0
"Meat loaf, homemade",16.6,10.9,12.7,213,10.7,1.5,70.4
"Meat samosas, takeaway",11.4,17.3,18.9,272,16.8,1.9,19.7
Meat spread,15.7,13.4,2.3,192,2.1,0.2,62.0
"Meatballs, pork and beef, in tomato sauce, homemade",10.0,7.2,4.6,123,1.6,2.8,41.4
"Medlars, flesh only",0.5,Tr,10.6,42,0.0,10.6,0.0
Melon seeds,28.5,47.7,9.9,583,N,N,0.0
"Melon, Canteloupe-type, flesh only",0.6,0.1,4.2,19,0.0,4.2,0.0
"Melon, Canteloupe-type, flesh only, weighed whole",0.4,0.1,2.5,12,0.0,2.5,0.0
"Melon, Canteloupe-type, flesh only, weighed with skin",0.4,0.1,2.8,13,0.0,2.8,0.0
"Melon, flesh only, average",0.5,0.1,5.5,24,0.0,5.5,0.0
"Melon, flesh only, average, weighed whole",0.3,0.1,3.5,15,0.0,3.5,0.0
"Melon, flesh only, average, weighed with skin",0.3,0.1,3.7,16,0.0,3.7,0.0
"Melon, Galia, flesh only",0.5,0.1,5.6,24,0.0,5.6,0.0
"Melon, Galia, flesh only, weighed whole",0.3,0.1,3.6,16,0.0,3.6,0.0
"Melon, Galia, flesh only, weighed with skin",0.3,0.1,3.8,16,0.0,3.8,0.0
"Melon, Honeydew, flesh only, weighed whole",0.3,0.1,4.0,17,0.0,4.0,0.0
"Melon, Honeydew, flesh only, weighed with skin",0.3,0.1,4.3,18,0.0,4.3,0.0
"Melon, watermelon, flesh only",0.5,0.3,7.1,31,0.0,7.1,0.0
"Melon, watermelon, flesh only, weighed whole",0.3,0.2,4.0,18,0.0,4.0,0.0
"Melon, yellow flesh, flesh only",0.5,0.1,6.8,29,0.0,6.8,0.0
"Meringue, homemade",6.3,Tr,96.0,385,0.0,96.0,0.0
"Meringue, with cream, homemade",2.9,24.2,27.2,331,0.0,27.2,63.0
"Methi aloo, homemade",2.7,10.4,10.1,142,8.6,1.5,4.7
"Milk bread, homemade",8.8,7.0,50.8,289,48.7,2.1,3.1
"Milk drink, fermented, with probiotics",3.0,1.2,12.7,70,0.4,12.3,N
"Milk shake, powder",1.3,1.6,98.3,388,Tr,98.3,Tr
"Milk shake, powder, made up with semi-skimmed milk",3.3,1.7,11.2,70,Tr,11.2,5.5
"Milk shake, powder, made up with skimmed milk",3.3,0.3,11.3,59,Tr,11.3,3.4
"Milk shake, powder, made up with whole milk",3.3,3.5,11.1,86,Tr,11.1,11.2
"Milk, 1% fat, pasteurised",3.5,1.0,4.8,41,0.0,4.8,4.8
"Milk, Channel Islands, whole, pasteurised",3.5,4.7,4.3,72,0.0,4.3,15.9
"Milk, Channel islands, whole, summer",3.9,4.7,4.1,73,0.0,4.1,16.0
"Milk, Channel islands, whole, winter",3.2,4.7,4.4,72,0.0,4.4,15.7
"Milk, condensed, whole, sweetened",   7.4,8.0,55.5, 310,0.0,55.5,29.0
"Milk, evaporated, light",7.8,4.1,10.3,107,0.0,10.3,16.9
"Milk, evaporated, whole",8.4,9.4,  12.7, 166,0.0,  12.7,34.0
"Milk, flavoured, pasteurised, chocolate",3.6,1.5,  11.7,  72,0.3,  11.0,7.0
"Milk, flavoured, pasteurised, strawberry, banana",3.6,1.5,9.6,64,0.2,8.9,7.0
"Milk, goats, pasteurised",3.1,3.7,4.4,62,0.0,4.4,11.0
"Milk, human, colostrum",2.0,2.6,6.6,56,0.0,6.6,31.0
"Milk, human, mature",1.3,4.1,7.2,69,0.0,7.2,16.0
"Milk, human, transitional",1.5,3.7,6.9,67,0.0,6.9,24.0
"Milk, semi-skimmed, pasteurised, average",3.5,1.7,4.7,46,0.0,4.7,5.9
"Milk, semi-skimmed, pasteurised, summer and autumn",3.5,1.7,4.5,46,0.0,4.5,6.0
"Milk, semi-skimmed, pasteurised, winter and spring",3.4,1.7,4.9,47,0.0,4.9,5.7
"Milk, semi-skimmed, UHT",3.3,1.6,4.9,46,0.0,4.9,7.0
"Milk, sheeps, raw",5.4,5.8,5.1,93,0.0,5.1,12.0
"Milk, skimmed, dried, fortified",36.1,0.6,52.9,348,0.0,52.9,12.0
"Milk, skimmed, pasteurised, average",3.5,0.3,4.8,34,0.0,4.8,3.7
"Milk, skimmed, pasteurised, summer",3.5,0.2,4.4,32,0.0,4.4,2.6
"Milk, skimmed, pasteurised, winter",3.5,0.2,4.2,32,0.0,4.2,4.1
"Milk, skimmed, UHT",3.4,0.1,4.9,33,0.0,4.9,2.0
"Milk, soya, non-dairy alternative to milk, sweetened, fortified",3.1,2.4,2.5,43,0.0,2.2,0.0
"Milk, soya, non-dairy alternative to milk, unsweetened, fortified",2.4,1.6,0.5,26,0.0,0.2,0.0
"Milk, whole, pasteurised, average",3.4,3.6,4.6,63,0.0,4.6,12.0
"Milk, whole, pasteurised, summer and autumn",3.4,3.6,4.1,61,0.0,4.1,12.0
"Milk, whole, pasteurised, winter and spring",3.3,3.6,5.0,64,0.0,5.0,12.0
"Milk, whole, UHT",3.2,3.9,4.8,66,0.0,4.8,14.0
"Milkshake, thick, takeaway",3.7,1.8,15.3,88,0.3,11.1,10.9
Milky Way and own brand equivalents,3.8,15.7,76.6,444,6.9,69.7,9.4
"Mince pies, homemade, individual",4.2,23.5,55.5,436,26.4,29.0,1.4
"Mince pies, retail",3.8,14.9,60.7,377,25.2,35.5,11.9
Mincemeat,0.6,4.3,62.1,274,Tr,62.1,Tr
"Mincemeat, vegetarian, homemade",1.7,9.5,43.8,306,1.4,42.5,0.0
"Minibreads, toasted, retail",10.5,13.6,68.9,423,65.6,3.3,0.0
Mint sauce,1.6,Tr,21.5,101,0.0,21.5,0.0
"Mint sauce, homemade",0.8,0.1,19.4,85,0.0,N,0.0
"Mint, dried",24.8,4.6,34.6,279,N,N,0.0
"Mint, fresh",3.8,0.7,5.3,43,N,N,0.0
Mixed curry spices,13.2,13.3,N,N,N,N,0.0
"Mixed herbs, dried",12.1,8.5,36.3,261,N,N,0.0
Molasses,0.0,0.1,68.8,266,0.0,59.4,0.0
"Monkfish, flesh only, grilled",22.7,0.6,0.0,96,0.0,0.0,20.0
"Monkfish, flesh only, grilled, weighed with bones",17.5,0.4,0.0,74,0.0,0.0,16.0
"Monkfish, flesh only, raw",15.7,0.4,0.0,66,0.0,0.0,14.0
"Mooli paratha, homemade",5.9,2.3,33.8,171,32.0,1.8,3.0
"Moussaka, homemade",8.5,8.0,4.5,128,1.5,2.7,38.8
"Moussaka, retail, reheated",8.3,8.3,8.6,140,6.5,2.0,26.0
"Moussaka, vegetable, homemade",4.4,8.6,8.7,133,6.0,2.4,23.1
"Moussaka, vegetable, retail",5.9,4.9,8.0,98,3.5,4.5,N
"Mousse, chocolate, low fat",5.5,3.7,18.0,123,2.2,15.8,0.7
"Mousse, fruit",4.5,6.4,18.0,143,Tr,18.0,N
"Muesli, Swiss style, no added sugar or salt, unfortified",9.8,5.9,70.7,357,57.7,13.0,1.6
"Muesli, Swiss style, unfortified",9.2,6.3,72.6,366,51.3,21.3,1.7
"Muffins, American style, chocolate chip, homemade",6.3,17.5,53.6,384,25.3,28.2,62.2
"Muffins, American, chocolate, retail",5.5,25.4,49.5,436,18.4,30.9,44.8
"Muffins, American, not chocolate, retail",5.0,19.5,47.8,375,19.8,27.7,46.4
"Muffins, bran, homemade",8.2,7.0,44.5,263,27.2,17.3,46.7
"Muffins, English style, white",10.0,1.9,44.2,223,40.8,3.4,0.0
"Muffins, English style, white, toasted",11.3,2.7,51.0,261,47.3,3.8,0.0
"Mulberries, whole fruit, raw",1.3,Tr,8.1,36,0.0,8.1,0.0
"Mulberries, whole fruit, stewed with sugar",1.0,Tr,16.2,65,0.0,16.2,0.0
"Mulberries, whole fruit, stewed without sugar",1.1,Tr,6.9,30,0.0,6.9,0.0
"Mullet, Grey, flesh only, grilled",25.7,5.2,0.0,150,0.0,0.0,44.0
"Mullet, Grey, flesh only, raw",19.8,4.0,0.0,115,0.0,0.0,34.0
"Mullet, Grey, grilled, weighed with bones and skin",14.1,2.9,0.0,82,0.0,0.0,24.0
"Mullet, Red, flesh only, grilled",20.4,4.4,0.0,121,0.0,0.0,N
"Mullet, Red, flesh only, grilled, weighed with bones and skin",9.6,2.1,0.0,57,0.0,0.0,N
"Mullet, Red, flesh only, raw",18.7,3.8,0.0,109,0.0,0.0,N
"Mushroom, dried",21.8,6.0,4.8,159,1.2,3.6,0.0
"Mushrooms, Chinese, dried, raw",10.0,1.8,59.9,284,N,N,0.0
"Mushrooms, Jew's ear, tender, dried, raw",6.9,1.0,62.4,279,N,N,0.0
"Mushrooms, Jew's ear, tender, dried, soaked, raw",0.7,0.7,5.7,29,N,N,0.0
"Mushrooms, Jew's ear, tough, dried, raw",4.8,2.0,68.7,325,N,N,0.0
"Mushrooms, Jew's ear, tough, dried, soaked, raw",1.1,0.2,15.1,76,N,N,0.0
"Mushrooms, oyster, raw",1.6,0.2,Tr,8,Tr,Tr,0.0
"Mushrooms, shiitake, cooked",1.6,0.2,12.3,55,N,N,0.0
"Mushrooms, shiitake, dried, raw",9.6,1.0,63.9,296,N,N,0.0
"Mushrooms, white, fried in corn oil",1.4,11.0,0.4,106,0.0,0.4,0.0
"Mushrooms, white, fried in rapeseed oil",1.4,11.0,0.4,106,Tr,0.4,0.0
"Mushrooms, white, fried in salted butter",1.4,11.0,0.4,106,Tr,0.4,25.0
"Mushrooms, white, raw",1.0,0.2,0.3,7,Tr,0.3,0.0
"Mushrooms, white, stewed in unsalted water",1.4,0.3,0.1,9,0.1,Tr,0.0
"Mussels in white wine sauce, cooked",9.7,3.2,3.7,82,2.9,0.8,25.0
"Mussels, purchased cooked",17.7,2.2,3.5,104,Tr,Tr,45.0
"Mussels, raw",12.1,1.8,2.5,74,Tr,Tr,41.0
"Mustard and cress, raw",1.6,0.6,0.4,13,Tr,0.4,0.0
"Mustard leaves, boiled in unsalted water",2.0,0.2,1.9,17,1.4,0.5,0.0
"Mustard leaves, raw",2.5,0.3,3.6,27,2.8,0.8,0.0
Mustard powder,28.9,28.7,20.7,452,N,N,0.0
Mustard seeds,24.9,28.8,N,N,N,N,0.0
"Mustard, powder, made up",14.5,14.4,10.4,226,N,N,0.0
"Mustard, smooth",7.1,8.2,9.7,139,1.9,7.8,0.0
"Mustard, wholegrain",8.2,10.2,4.2,140,0.3,3.9,0.0
"Nectarines, flesh and skin, raw",1.0,0.3,9.8,43,0.0,9.8,0.0
"Nectarines, flesh and skin, raw, weighed with stones",0.9,0.3,9.0,40,0.0,9.0,0.0
"Noodles, egg, dried, raw",12.0,2.0,72.6,338,70.9,1.7,1.8
"Noodles, egg, fine, dried, boiled in unsalted water",4.7,0.8,27.5,129,27.5,Tr,0.7
"Noodles, egg, fried with spring onions, homemade",5.0,12.2,30.5,244,30.4,0.2,0.8
"Noodles, egg, medium, dried, boiled in unsalted water",5.8,1.0,35.7,166,35.7,Tr,0.9
"Noodles, egg, thick, dried, boiled in unsalted water",5.0,0.9,30.7,143,30.7,Tr,0.7
"Noodles, rice, fine, dried, boiled in unsalted water",1.9,0.2,21.3,89,21.3,Tr,0.0
"Nougat, homemade",5.2,10.2,80.0,413,0.4,79.6,68.0
"Nut and rice roast, mixed nuts with egg, homemade",12.1,21.9,23.5,333,20.5,2.7,29.0
"Nut and rice roast, mixed nuts, homemade",12.0,22.6,25.2,346,22.0,2.9,0.0
"Nut and seed roast, mixed nuts and sunflower seeds with egg, homemade",13.0,23.9,18.1,335,14.9,2.7,33.0
"Nut and seed roast, mixed nuts and sunflower seeds, homemade",12.9,24.9,19.6,349,16.2,2.9,0.0
"Nut and vegetable roast, mixed nuts with egg, homemade",11.3,21.2,18.3,304,14.3,3.6,29.0
"Nut and vegetable roast, mixed nuts, homemade",11.1,21.9,19.6,314,15.4,3.8,0.0
"Nut croquettes, fried in sunflower oil, homemade",9.3,26.2,21.6,351,18.6,2.5,0.0
"Nut croquettes, fried in vegetable oil, homemade",9.3,26.2,21.6,351,18.6,2.5,0.0
"Nut cutlets, retail, fried in sunflower oil",4.8,22.3,18.7,289,17.3,1.3,0.0
"Nut cutlets, retail, fried in vegetable oil",4.8,22.3,18.7,289,17.3,1.3,0.0
"Nut cutlets, retail, grilled",5.1,13.0,19.9,212,18.4,1.4,0.0
"Nut roast, homemade",13.2,23.5,18.8,335,14.4,4.1,0.0
"Nut roast, mixed nuts with egg, homemade",13.3,24.7,16.9,338,13.5,3.0,33.0
"Nut, mushroom and rice roast, homemade",7.8,15.3,24.3,260,21.2,2.8,0.0
"Nutmeg, ground",5.8,36.3,N,N,N,28.5,0.0
"Nuts, mixed",23.8,49.1,11.6,581,6.0,5.6,0.0
"Oatcakes, homemade",9.5,15.9,61.4,411,61.0,0.3,23.4
